period,symbol,model,first_bar,last_bar,bars,years,trades,win_rate_pct,profit_factor,avg_r,avg_win_pct,avg_loss_pct,payoff,max_drawdown_pct,account_max_drawdown_pct,total_return_pct,buy_hold_pct,cost_pct,cost_per_r,fees,slippage_cost,funding,avg_stop_distance_pct,median_hold_bars,max_hold_bars
A,BTC-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,45,46.666666666666664,1.54937711390783,0.3152865911679909,4.500689421005944,-2.5493659240008233,1.7654152268352399,-5.454150469999999,-5.125655887460923,14.651110899999997,98.29223836010436,0.17065398047797695,0.08187140199682841,356.51454542400006,47.535291415100005,0.0,2.37233287386313,9.0,46.0
A,BTC-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,155,36.774193548387096,1.1936607784003697,0.046547255821489296,2.1081976893556336,-1.1560599977657962,1.8236057760236843,-9.628451014120001,-9.559334424371457,6.993234300000006,98.29223836010436,0.24110889253857437,0.09017846411030246,859.7517277609995,518.9727057473999,0.0,3.2783216337053904,1.0,9.0
A,ETH-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,45,37.77777777777778,1.0911565685659488,0.06038782739850844,5.0582160870049355,-2.9380556648642058,1.7216202359592536,-5.657567375999999,-5.8516430439215945,2.275658600000008,-9.698980482759545,0.17022742991170428,0.07216660059844857,291.24391435600006,38.832527490599986,0.0,2.7219364757917264,6.0,40.0
A,ETH-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,165,38.18181818181819,0.8413943003239777,-0.035414265067810445,1.9905145235805586,-1.4560752417027578,1.3670409787703133,-8.1135650543584,-8.236948611831242,-5.920570869999997,-9.698980482759545,0.23091652521626038,0.06736837196788309,713.780640814,385.0192915141,0.0,4.135475179614797,1.0,11.0
A,SOL-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,46,32.608695652173914,0.9070507143887587,-0.06522418091273466,8.332500834068254,-4.334865866121377,1.9222049981269114,-10.7771401308,-11.188185905601422,-3.3927801100000043,10.615836455298112,0.16988064046171417,0.04473001141005459,175.17437990600007,23.356582579999998,0.0,4.2044738478054855,7.0,38.0
A,SOL-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,184,38.58695652173913,1.0115862668535738,0.002444210462576285,3.5750753242444815,-2.303744948164799,1.5518537879344867,-8.541312324072003,-8.475756295076176,0.1518971000000091,10.615836455298112,0.2464458091209915,0.04360724718503589,485.8850550297998,311.4750376571001,0.0,7.0405053421925485,1.0,9.0
A,XRP-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,51,21.568627450980394,0.5017056291421148,-0.41323922204432445,6.019159533576691,-3.158402444868822,1.9057607884503411,-21.287352025500002,-20.882351490199635,-19.347912880000006,144.7281458764235,0.1691246366198004,0.06085182335636119,244.87773105999995,32.65034756800001,0.0,3.025520982545028,7.0,22.0
A,XRP-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,130,33.84615384615385,0.6767482164743869,-0.08561232241170603,2.3617864193050546,-1.759219791062117,1.3425192413729852,-16.925256313102004,-16.19415136708384,-10.70835846,144.7281458764235,0.2483098788706987,0.06532907466422484,506.14666870249994,331.5182163286003,0.0,4.536165884348532,1.0,13.0
A,DOGE-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,49,24.489795918367346,0.5944688828657579,-0.32228771901059994,7.395099245322544,-3.6015622226640605,2.0533032023676716,-19.1163179181,-19.32836462510218,-14.972163249999992,83.04727035283692,0.16928247900560814,0.05800950801787908,225.09779817800003,30.013027336599997,0.0,3.529067358110706,6.0,39.0
A,DOGE-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,151,37.74834437086093,0.7166514083676067,-0.07079867471770979,2.607087501901921,-2.257449355522219,1.1548819447596508,-10.825291737522997,-11.166023768348488,-10.343210390000001,83.04727035283692,0.25626204587313867,0.053695022207466456,456.90878753640004,325.1206827132001,0.0,5.813927852453209,1.0,8.0
