bar,symbol,ts,open,close
15m,ADA-USDT-SWAP,2026-09-14T13:00:00+00:00,0.2085,0.2079
15m,ADA-USDT-SWAP,2026-09-14T14:00:00+00:00,0.2082,0.2103
15m,ADA-USDT-SWAP,2026-09-14T14:30:00+00:00,0.2093,0.2084
15m,ADA-USDT-SWAP,2026-09-14T16:45:00+00:00,0.2102,0.2107
15m,ADA-USDT-SWAP,2026-09-15T04:45:00+00:00,0.2046,0.2048
15m,ADA-USDT-SWAP,2026-09-15T05:00:00+00:00,0.2047,0.2036
15m,ADA-USDT-SWAP,2026-09-15T11:15:00+00:00,0.2055,0.2045
15m,ADA-USDT-SWAP,2026-09-16T06:45:00+00:00,0.1948,0.1958
15m,ADA-USDT-SWAP,2026-09-16T08:00:00+00:00,0.1938,0.193
15m,ADA-USDT-SWAP,2026-09-17T01:45:00+00:00,0.1965,0.196
15m,ADA-USDT-SWAP,2026-09-17T02:00:00+00:00,0.196,0.1948
15m,ADA-USDT-SWAP,2026-09-17T02:30:00+00:00,0.1948,0.1959
15m,ADA-USDT-SWAP,2026-09-17T03:00:00+00:00,0.195,0.1952
15m,ADA-USDT-SWAP,2026-09-17T03:30:00+00:00,0.1957,0.1962
15m,ADA-USDT-SWAP,2026-09-17T04:00:00+00:00,0.1958,0.1956
15m,ADA-USDT-SWAP,2026-09-17T04:15:00+00:00,0.1956,0.1951
15m,ADA-USDT-SWAP,2026-09-17T06:30:00+00:00,0.1967,0.1975
15m,ADA-USDT-SWAP,2026-09-17T06:45:00+00:00,0.1976,0.1976
15m,ADA-USDT-SWAP,2026-09-17T07:15:00+00:00,0.1982,0.1985
15m,ADA-USDT-SWAP,2026-09-17T07:45:00+00:00,0.1983,0.1985
15m,ADA-USDT-SWAP,2026-09-17T08:00:00+00:00,0.1984,0.1982
15m,ADA-USDT-SWAP,2026-09-17T08:45:00+00:00,0.1998,0.1996
15m,ADA-USDT-SWAP,2026-09-17T09:00:00+00:00,0.1995,0.1998
15m,ADA-USDT-SWAP,2026-09-17T09:15:00+00:00,0.1998,0.1997
15m,ADA-USDT-SWAP,2026-09-17T09:30:00+00:00,0.1997,0.1995
15m,ADA-USDT-SWAP,2026-09-17T09:45:00+00:00,0.1996,0.1983
15m,ADA-USDT-SWAP,2026-09-17T19:45:00+00:00,0.2013,0.2016
15m,ADA-USDT-SWAP,2026-09-17T20:00:00+00:00,0.2016,0.2024
15m,ADA-USDT-SWAP,2026-09-18T02:00:00+00:00,0.2094,0.2118
15m,ADA-USDT-SWAP,2026-09-18T02:15:00+00:00,0.2119,0.2156
15m,ADA-USDT-SWAP,2026-09-18T02:30:00+00:00,0.2156,0.215
15m,ADA-USDT-SWAP,2026-09-18T02:45:00+00:00,0.215,0.2139
15m,ADA-USDT-SWAP,2026-09-18T03:00:00+00:00,0.2139,0.2146
15m,ADA-USDT-SWAP,2026-09-18T03:15:00+00:00,0.2147,0.2152
15m,ADA-USDT-SWAP,2026-09-18T03:30:00+00:00,0.2152,0.2158
15m,ADA-USDT-SWAP,2026-09-18T03:45:00+00:00,0.2159,0.2165
15m,ADA-USDT-SWAP,2026-09-18T04:15:00+00:00,0.2142,0.2133
15m,ADA-USDT-SWAP,2026-09-18T05:00:00+00:00,0.215,0.2145
15m,ADA-USDT-SWAP,2026-09-18T05:15:00+00:00,0.2145,0.2134
15m,ADA-USDT-SWAP,2026-09-18T06:30:00+00:00,0.2136,0.214
15m,ADA-USDT-SWAP,2026-09-18T06:45:00+00:00,0.214,0.2134
15m,ADA-USDT-SWAP,2026-09-18T07:00:00+00:00,0.2134,0.2138
15m,ADA-USDT-SWAP,2026-09-18T07:15:00+00:00,0.2138,0.2146
15m,ADA-USDT-SWAP,2026-09-18T08:00:00+00:00,0.2144,0.2142
15m,ADA-USDT-SWAP,2026-09-18T08:30:00+00:00,0.2145,0.2144
15m,ADA-USDT-SWAP,2026-09-18T09:15:00+00:00,0.2153,0.2148
15m,ADA-USDT-SWAP,2026-09-18T09:30:00+00:00,0.2149,0.2152
15m,ADA-USDT-SWAP,2026-09-18T10:15:00+00:00,0.216,0.2162
15m,ADA-USDT-SWAP,2026-09-18T10:45:00+00:00,0.2161,0.2151
15m,ADA-USDT-SWAP,2026-09-18T11:00:00+00:00,0.2151,0.2133
15m,ADA-USDT-SWAP,2026-09-18T11:15:00+00:00,0.2133,0.2132
15m,ADA-USDT-SWAP,2026-09-18T13:15:00+00:00,0.2158,0.216
15m,ADA-USDT-SWAP,2026-09-18T13:30:00+00:00,0.216,0.2177
15m,ADA-USDT-SWAP,2026-09-18T13:45:00+00:00,0.2176,0.2171
15m,ADA-USDT-SWAP,2026-09-18T14:00:00+00:00,0.2171,0.2176
15m,ADA-USDT-SWAP,2026-09-18T14:15:00+00:00,0.2176,0.2186
15m,ADA-USDT-SWAP,2026-09-18T14:30:00+00:00,0.2187,0.2197
15m,ADA-USDT-SWAP,2026-09-18T14:45:00+00:00,0.2197,0.2208
15m,ADA-USDT-SWAP,2026-09-18T16:45:00+00:00,0.2192,0.2184
15m,ADA-USDT-SWAP,2026-09-18T18:00:00+00:00,0.221,0.221
15m,ADA-USDT-SWAP,2026-09-18T18:15:00+00:00,0.221,0.2213
15m,ADA-USDT-SWAP,2026-09-18T18:30:00+00:00,0.2213,0.2209
15m,ADA-USDT-SWAP,2026-09-18T19:00:00+00:00,0.2208,0.2226
15m,ADA-USDT-SWAP,2026-09-18T19:30:00+00:00,0.2221,0.223
15m,ADA-USDT-SWAP,2026-09-18T20:15:00+00:00,0.2225,0.2226
15m,ADA-USDT-SWAP,2026-09-19T00:30:00+00:00,0.2269,0.228
15m,ADA-USDT-SWAP,2026-09-19T04:15:00+00:00,0.2307,0.228
15m,ADA-USDT-SWAP,2026-09-19T04:45:00+00:00,0.2256,0.2259
15m,ADA-USDT-SWAP,2026-09-19T05:00:00+00:00,0.2259,0.2273
15m,ADA-USDT-SWAP,2026-09-19T05:30:00+00:00,0.2262,0.2252
15m,ADA-USDT-SWAP,2026-09-19T05:45:00+00:00,0.2251,0.2244
15m,ADA-USDT-SWAP,2026-09-19T06:15:00+00:00,0.2229,0.2225
15m,ADA-USDT-SWAP,2026-09-19T06:30:00+00:00,0.2225,0.2232
15m,ADA-USDT-SWAP,2026-09-19T07:00:00+00:00,0.2232,0.2236
