source,period,model,symbol,direction,opened_at,closed_at,r,pnl,coin_ret,btc_ret,aligned_btc,aligned_coin
ema,A,ema_trend,AVAX-USDT-SWAP,long,2022-01-02T12:00:00+00:00,2022-01-03T08:00:00+00:00,-1.033843194,-103.3843194,-0.0211976404278037,0.0004182235637295584,aligned,misaligned
ema,A,ema_trend,LINK-USDT-SWAP,long,2022-01-03T04:00:00+00:00,2022-01-03T16:00:00+00:00,1.9456039227732893,192.7486804,0.05537098560354381,-0.014388336308764793,misaligned,aligned
ema,A,ema_trend,NEAR-USDT-SWAP,long,2022-01-11T12:00:00+00:00,2022-01-11T20:00:00+00:00,1.9797220624907632,199.7413722,0.1074021120840416,0.023527410307588648,aligned,aligned
ema,A,ema_trend,DOGE-USDT-SWAP,long,2022-01-13T20:00:00+00:00,2022-01-14T04:00:00+00:00,1.9687163376053676,202.5633055,0.14260505963473724,0.001888849211569843,aligned,aligned
ema,A,ema_trend,ADA-USDT-SWAP,long,2022-01-14T08:00:00+00:00,2022-01-14T12:00:00+00:00,-1.0321280645352877,-108.2874606,0.027743801184275663,0.026123239805390774,aligned,aligned
ema,A,ema_trend,BTC-USDT-SWAP,long,2022-02-01T08:00:00+00:00,2022-02-02T16:00:00+00:00,-1.0541756397630146,-109.4590792,-0.02273691112076659,-0.02273691112076659,misaligned,misaligned
ema,A,ema_trend,ETH-USDT-SWAP,long,2022-02-01T12:00:00+00:00,2022-02-02T16:00:00+00:00,-1.035974141525381,-107.5385683,-0.02235573362428045,-0.027375409776636106,misaligned,misaligned
ema,A,ema_trend,AVAX-USDT-SWAP,long,2022-02-02T00:00:00+00:00,2022-02-02T16:00:00+00:00,-1.0298788097494962,-107.3846951,-0.026278978175546364,-0.025758342087175312,misaligned,misaligned
ema,A,ema_trend,SOL-USDT-SWAP,long,2022-02-02T04:00:00+00:00,2022-02-02T16:00:00+00:00,-1.026159524784649,-106.8622519,0.013091947669062076,-0.018805526458087973,misaligned,aligned
ema,A,ema_trend,AVAX-USDT-SWAP,long,2022-02-04T16:00:00+00:00,2022-02-07T04:00:00+00:00,1.9743305032466179,196.4880762,0.07591865485709803,0.04903571121668571,aligned,aligned
ema,A,ema_trend,BTC-USDT-SWAP,long,2022-02-04T20:00:00+00:00,2022-02-07T12:00:00+00:00,1.9451314735077427,195.0534366,0.054088113842372554,0.054088113842372554,aligned,aligned
ema,A,ema_trend,NEAR-USDT-SWAP,long,2022-02-05T04:00:00+00:00,2022-02-08T12:00:00+00:00,-1.025522219965781,-103.7562581,-0.04721669598347,0.049744343169757954,aligned,misaligned
ema,A,ema_trend,XRP-USDT-SWAP,long,2022-02-05T04:00:00+00:00,2022-02-07T00:00:00+00:00,1.9394391479010615,196.1934625,0.07910792869396577,0.03449675716950673,aligned,aligned
ema,A,ema_trend,ADA-USDT-SWAP,long,2022-02-05T08:00:00+00:00,2022-02-05T16:00:00+00:00,-1.0399394326489189,-104.946411,-0.036958945067099847,0.0023377450530999155,aligned,misaligned
ema,A,ema_trend,AVAX-USDT-SWAP,long,2022-02-15T04:00:00+00:00,2022-02-16T00:00:00+00:00,1.9617055863770478,202.6671251,0.10388679289634828,0.007033095844246384,aligned,aligned
