source,period,model,week_start,n_opened,long_share,short_share,btc_week_ret,model_week_ret,avg_r
ema,A,ema_trend,2021-12-27,1,1.0,0.0,-0.06830743170044717,-0.005203132700000057,-1.033843194
ema,A,ema_trend,2022-01-03,1,1.0,0.0,-0.11524467718509712,0.014213523549160945,1.9456039227732893
ema,A,ema_trend,2022-01-10,3,1.0,0.0,0.029130296607638106,0.029141302614231313,0.9721034451869478
ema,A,ema_trend,2022-01-17,0,,,-0.1581276556223734,0.0,
ema,A,ema_trend,2022-01-24,0,,,0.04516721550197755,0.0,
ema,A,ema_trend,2022-01-31,9,1.0,0.0,0.1180801291946707,-0.016639719793481667,-0.03919429375353545
ema,A,ema_trend,2022-02-07,0,,,-0.007259665196324816,0.011807749860448524,
ema,A,ema_trend,2022-02-14,3,1.0,0.0,-0.08734413446337086,-0.001304972324192688,-0.037152102650177175
ema,A,ema_trend,2022-02-21,0,,,-0.018239362325635833,0.0,
ema,A,ema_trend,2022-02-28,5,1.0,0.0,0.019262761579546428,-0.05125726894962934,-1.0272096229765577
ema,A,ema_trend,2022-03-07,4,1.0,0.0,-0.01703748246141512,-0.041260823914351374,-1.0371670756699136
ema,A,ema_trend,2022-03-14,5,1.0,0.0,0.09274697569966728,0.01980742735814922,0.7460386446161463
ema,A,ema_trend,2022-03-21,0,,,0.13471875530135957,0.016906571071306553,
ema,A,ema_trend,2022-03-28,0,,,-0.008878324032130402,0.0,
ema,A,ema_trend,2022-04-04,0,,,-0.09177437497575747,0.0,
ema,A,ema_trend,2022-04-11,2,1.0,0.0,-0.058701269120442046,-0.01869081833753239,-1.0389644250702372
ema,A,ema_trend,2022-04-18,4,1.0,0.0,-0.005517578617303176,-0.043442361144957475,-1.0460123301523834
ema,A,ema_trend,2022-04-25,2,1.0,0.0,-0.02495798936998006,-0.020373839123055903,-1.0239341521727006
ema,A,ema_trend,2022-05-02,0,,,-0.11487512217439222,0.0,
ema,A,ema_trend,2022-05-09,0,,,-0.08016058548504568,0.0,
ema,A,ema_trend,2022-05-16,0,,,-0.0326427401511451,0.0,
ema,A,ema_trend,2022-05-23,0,,,-0.02744360281862135,0.0,
ema,A,ema_trend,2022-05-30,7,1.0,0.0,0.0155054807072319,0.004212861279573987,0.23823194824359423
ema,A,ema_trend,2022-06-06,2,1.0,0.0,-0.11172006322705275,-0.0102986807255242,-1.0639894216521024
ema,A,ema_trend,2022-06-13,0,,,-0.22609176548486132,0.0,
ema,A,ema_trend,2022-06-20,7,1.0,0.0,0.022701751486308375,0.007896954910840748,-0.16920236700635508
ema,A,ema_trend,2022-06-27,0,,,-0.08187051112030064,-0.0206415400427975,
ema,A,ema_trend,2022-07-04,8,1.0,0.0,0.08003334075389446,0.02361707173735228,0.08104056447503835
ema,A,ema_trend,2022-07-11,6,1.0,0.0,-0.0029288261686543082,0.01399491718305157,1.4497649213643335
ema,A,ema_trend,2022-07-18,2,1.0,0.0,0.08579601451888164,0.06062697902520209,0.44463106740776914
ema,A,ema_trend,2022-07-25,5,1.0,0.0,0.03164918463943045,0.0516798199462849,0.7585866292377552
ema,A,ema_trend,2022-08-01,2,1.0,0.0,-0.005218906518912214,-0.013850660109286816,0.4477492525810287
ema,A,ema_trend,2022-08-08,2,1.0,0.0,0.04864032306079391,-0.011475206386326153,-1.0527230969740402
ema,A,ema_trend,2022-08-15,0,,,-0.1148002320443352,0.0,
ema,A,ema_trend,2022-08-22,0,,,-0.09097669576210532,0.0,
ema,A,ema_trend,2022-08-29,3,1.0,0.0,0.022783515696901402,0.0026504289689404104,-0.045527051861974144
ema,A,ema_trend,2022-09-05,9,1.0,0.0,0.0913285608590455,0.055960314007142964,0.9490046747475659
ema,A,ema_trend,2022-09-12,2,1.0,0.0,-0.11054258949634688,0.02032020035098525,-1.035322920417118
ema,A,ema_trend,2022-09-19,3,1.0,0.0,-0.031173232117750582,-0.02411357666278624,-0.03865300133128594
ema,A,ema_trend,2022-09-26,3,1.0,0.0,0.012981075908994333,-0.01861254587043215,-1.0518475385376522
ema,A,ema_trend,2022-10-03,5,1.0,0.0,0.02026637000031495,-0.02359103202447299,-0.46321253536459944
ema,A,ema_trend,2022-10-10,0,,,-0.009314693659219109,0.0,
ema,A,ema_trend,2022-10-17,3,1.0,0.0,0.016094448453634946,-0.0033414695777245207,-0.09794703329010061
ema,A,ema_trend,2022-10-24,9,1.0,0.0,0.05386458743159639,-0.036920605301872134,-0.40034719126899
ema,A,ema_trend,2022-10-31,2,1.0,0.0,0.013808150105451888,-0.02080920285344956,-1.0425626210640986
ema,A,ema_trend,2022-11-07,0,,,-0.21882038995136366,0.0,
ema,A,ema_trend,2022-11-14,0,,,-0.0027793592781013565,0.0,
ema,A,ema_trend,2022-11-21,5,1.0,0.0,0.00845340192641797,0.008977915663437308,0.16984036852025297
ema,A,ema_trend,2022-11-28,4,1.0,0.0,0.04129786327387852,0.04714539279863872,1.1603062533898112
ema,A,ema_trend,2022-12-05,3,1.0,0.0,-0.0010815298092999859,-0.028886528967609126,-1.056625488489425
ema,A,ema_trend,2022-12-12,3,1.0,0.0,-0.020594724613592907,-0.035393201115590966,-1.0593066813828689
ema,A,ema_trend,2022-12-19,0,,,0.00596354944726607,0.0,
