ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-12T04:00:00+00:00,10000,0,0,10000,0
2026-09-12T08:00:00+00:00,10000,0,0,10000,0
2026-09-12T12:00:00+00:00,10000,0,0,10000,0
2026-09-12T16:00:00+00:00,10000,0,0,10000,0
2026-09-12T20:00:00+00:00,10000,0,0,10000,0
2026-09-13T00:00:00+00:00,10000,0,0,10000,0
2026-09-13T04:00:00+00:00,10000,0,0,10000,0
2026-09-13T08:00:00+00:00,10000,0,0,10000,0
2026-09-13T12:00:00+00:00,10000,0,0,10000,0
2026-09-13T16:00:00+00:00,10000,0,0,10000,0
2026-09-13T20:00:00+00:00,8838.666418,1160.173409,20.93037138,10019.7702,1
2026-09-14T00:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-14T04:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-14T08:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-14T12:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-14T16:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-14T20:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-15T00:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-15T04:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-15T08:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-15T12:00:00+00:00,10064.43408,0,0,10064.43408,0
2026-09-15T16:00:00+00:00,6139.982943,3710.220054,-42.64077783,9807.562219,1
2026-09-15T20:00:00+00:00,2182.443968,7665.583579,-103.0183135,9745.009233,3
2026-09-16T00:00:00+00:00,2181.593962,7665.583579,-49.12531012,9798.05223,3
2026-09-16T04:00:00+00:00,2181.593962,7665.583579,-64.8515768,9782.325964,3
