ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-12T04:00:00+00:00,10000,0,0,10000,0
2026-09-12T08:00:00+00:00,10000,0,0,10000,0
2026-09-12T12:00:00+00:00,10000,0,0,10000,0
2026-09-12T16:00:00+00:00,10000,0,0,10000,0
2026-09-12T20:00:00+00:00,10000,0,0,10000,0
2026-09-13T00:00:00+00:00,10000,0,0,10000,0
2026-09-13T04:00:00+00:00,10000,0,0,10000,0
2026-09-13T08:00:00+00:00,10000,0,0,10000,0
2026-09-13T12:00:00+00:00,10000,0,0,10000,0
2026-09-13T16:00:00+00:00,10000,0,0,10000,0
2026-09-13T20:00:00+00:00,10000,0,0,10000,0
2026-09-14T00:00:00+00:00,10000,0,0,10000,0
2026-09-14T04:00:00+00:00,10000,0,0,10000,0
2026-09-14T08:00:00+00:00,10000,0,0,10000,0
2026-09-14T12:00:00+00:00,10000,0,0,10000,0
2026-09-14T16:00:00+00:00,10000,0,0,10000,0
2026-09-14T20:00:00+00:00,10000,0,0,10000,0
2026-09-15T00:00:00+00:00,10000,0,0,10000,0
2026-09-15T04:00:00+00:00,10000,0,0,10000,0
2026-09-15T08:00:00+00:00,10000,0,0,10000,0
2026-09-15T12:00:00+00:00,10000,0,0,10000,0
2026-09-15T16:00:00+00:00,10000,0,0,10000,0
2026-09-15T20:00:00+00:00,10000,0,0,10000,0
