ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-11T12:00:00+00:00,10000,0,0,10000,0
2026-09-11T16:00:00+00:00,10000,0,0,10000,0
2026-09-11T20:00:00+00:00,10000,0,0,10000,0
2026-09-12T00:00:00+00:00,10000,0,0,10000,0
2026-09-12T04:00:00+00:00,10000,0,0,10000,0
2026-09-12T08:00:00+00:00,10000,0,0,10000,0
2026-09-12T12:00:00+00:00,10000,0,0,10000,0
2026-09-12T16:00:00+00:00,10000,0,0,10000,0
2026-09-12T20:00:00+00:00,10000,0,0,10000,0
2026-09-13T00:00:00+00:00,10000,0,0,10000,0
2026-09-13T04:00:00+00:00,10000,0,0,10000,0
2026-09-13T08:00:00+00:00,10000,0,0,10000,0
2026-09-13T12:00:00+00:00,10000,0,0,10000,0
2026-09-13T16:00:00+00:00,10000,0,0,10000,0
2026-09-13T20:00:00+00:00,10000,0,0,10000,0
2026-09-14T00:00:00+00:00,10000,0,0,10000,0
2026-09-14T04:00:00+00:00,10000,0,0,10000,0
2026-09-14T08:00:00+00:00,10000,0,0,10000,0
2026-09-14T12:00:00+00:00,10000,0,0,10000,0
2026-09-14T16:00:00+00:00,10000,0,0,10000,0
2026-09-14T20:00:00+00:00,10000,0,0,10000,0
2026-09-15T00:00:00+00:00,10000,0,0,10000,0
2026-09-15T04:00:00+00:00,10000,0,0,10000,0
2026-09-15T08:00:00+00:00,10000,0,0,10000,0
2026-09-15T12:00:00+00:00,10000,0,0,10000,0
2026-09-15T16:00:00+00:00,7022.695874,2975.667509,22.47450666,10020.83789,2
2026-09-15T20:00:00+00:00,7022.695874,2975.667509,37.03683969,10035.40022,2
2026-09-16T00:00:00+00:00,7022.84477,2975.667509,19.78981202,10018.30209,2
2026-09-16T04:00:00+00:00,7022.84477,2975.667509,26.84674737,10025.35903,2
2026-09-16T08:00:00+00:00,6525.920752,3472.411363,-30.36124132,9967.970873,3
2026-09-16T12:00:00+00:00,6525.920752,3472.411363,-22.41868693,9975.913428,3
