ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-11T12:00:00+00:00,10000,0,0,10000,0
2026-09-11T16:00:00+00:00,7415.220896,2582.196907,-21.11827594,9976.299527,1
2026-09-11T20:00:00+00:00,9968.41537,0,0,9968.41537,0
2026-09-12T00:00:00+00:00,9968.41537,0,0,9968.41537,0
2026-09-12T04:00:00+00:00,9968.41537,0,0,9968.41537,0
2026-09-12T08:00:00+00:00,9245.536528,722.1566855,34.23026851,10001.92348,1
2026-09-12T12:00:00+00:00,9245.536528,722.1566855,13.20041166,9980.893625,1
2026-09-12T16:00:00+00:00,9955.896272,0,0,9955.896272,0
2026-09-12T20:00:00+00:00,9955.896272,0,0,9955.896272,0
2026-09-13T00:00:00+00:00,9955.896272,0,0,9955.896272,0
2026-09-13T04:00:00+00:00,9955.896272,0,0,9955.896272,0
2026-09-13T08:00:00+00:00,9955.896272,0,0,9955.896272,0
