ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-14T04:15:00+00:00,10000,0,0,10000,0
2026-09-14T04:30:00+00:00,10000,0,0,10000,0
2026-09-14T04:45:00+00:00,10000,0,0,10000,0
2026-09-14T05:00:00+00:00,10000,0,0,10000,0
2026-09-14T05:15:00+00:00,10000,0,0,10000,0
2026-09-14T05:30:00+00:00,10000,0,0,10000,0
2026-09-14T05:45:00+00:00,10000,0,0,10000,0
2026-09-14T06:00:00+00:00,10000,0,0,10000,0
2026-09-14T06:15:00+00:00,10000,0,0,10000,0
2026-09-14T06:30:00+00:00,10000,0,0,10000,0
2026-09-14T06:45:00+00:00,10000,0,0,10000,0
2026-09-14T07:00:00+00:00,10000,0,0,10000,0
2026-09-14T07:15:00+00:00,10000,0,0,10000,0
2026-09-14T07:30:00+00:00,10000,0,0,10000,0
2026-09-14T07:45:00+00:00,10000,0,0,10000,0
