ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-14T04:15:00+00:00,10000,0,0,10000,0
2026-09-14T04:30:00+00:00,10000,0,0,10000,0
2026-09-14T04:45:00+00:00,10000,0,0,10000,0
2026-09-14T05:00:00+00:00,10000,0,0,10000,0
2026-09-14T05:15:00+00:00,10000,0,0,10000,0
2026-09-14T05:30:00+00:00,10000,0,0,10000,0
2026-09-14T05:45:00+00:00,10000,0,0,10000,0
2026-09-14T06:00:00+00:00,10000,0,0,10000,0
2026-09-14T06:15:00+00:00,10000,0,0,10000,0
2026-09-14T06:30:00+00:00,10000,0,0,10000,0
2026-09-14T06:45:00+00:00,10000,0,0,10000,0
2026-09-14T07:00:00+00:00,10000,0,0,10000,0
2026-09-14T07:15:00+00:00,10000,0,0,10000,0
2026-09-14T07:30:00+00:00,10000,0,0,10000,0
2026-09-14T07:45:00+00:00,10000,0,0,10000,0
2026-09-14T08:00:00+00:00,10000,0,0,10000,0
2026-09-14T08:15:00+00:00,10000,0,0,10000,0
2026-09-14T08:30:00+00:00,10000,0,0,10000,0
2026-09-14T08:45:00+00:00,10000,0,0,10000,0
2026-09-14T09:00:00+00:00,10000,0,0,10000,0
2026-09-14T09:15:00+00:00,10000,0,0,10000,0
2026-09-14T09:30:00+00:00,10000,0,0,10000,0
2026-09-14T09:45:00+00:00,10000,0,0,10000,0
2026-09-14T10:00:00+00:00,10000,0,0,10000,0
2026-09-14T10:15:00+00:00,10000,0,0,10000,0
2026-09-14T10:30:00+00:00,10000,0,0,10000,0
2026-09-14T10:45:00+00:00,10000,0,0,10000,0
2026-09-14T11:00:00+00:00,10000,0,0,10000,0
2026-09-14T11:15:00+00:00,10000,0,0,10000,0
2026-09-14T11:30:00+00:00,10000,0,0,10000,0
2026-09-14T11:45:00+00:00,10000,0,0,10000,0
2026-09-14T12:00:00+00:00,10000,0,0,10000,0
2026-09-14T12:15:00+00:00,10000,0,0,10000,0
2026-09-14T12:30:00+00:00,10000,0,0,10000,0
2026-09-14T12:45:00+00:00,10000,0,0,10000,0
2026-09-14T13:00:00+00:00,10000,0,0,10000,0
2026-09-14T13:15:00+00:00,10000,0,0,10000,0
2026-09-14T13:30:00+00:00,10000,0,0,10000,0
2026-09-14T13:45:00+00:00,10000,0,0,10000,0
2026-09-14T14:00:00+00:00,10000,0,0,10000,0
2026-09-14T14:15:00+00:00,10000,0,0,10000,0
2026-09-14T14:30:00+00:00,10000,0,0,10000,0
2026-09-14T14:45:00+00:00,10000,0,0,10000,0
2026-09-14T15:00:00+00:00,10000,0,0,10000,0
2026-09-14T15:15:00+00:00,10000,0,0,10000,0
2026-09-14T15:30:00+00:00,10000,0,0,10000,0
2026-09-14T15:45:00+00:00,10000,0,0,10000,0
2026-09-14T16:00:00+00:00,10000,0,0,10000,0
2026-09-14T16:15:00+00:00,10000,0,0,10000,0
2026-09-14T16:30:00+00:00,10000,0,0,10000,0
2026-09-14T16:45:00+00:00,10000,0,0,10000,0
2026-09-14T17:00:00+00:00,10000,0,0,10000,0
2026-09-14T17:15:00+00:00,10000,0,0,10000,0
2026-09-14T17:30:00+00:00,10000,0,0,10000,0
2026-09-14T17:45:00+00:00,10000,0,0,10000,0
2026-09-14T18:00:00+00:00,10000,0,0,10000,0
2026-09-14T18:15:00+00:00,10000,0,0,10000,0
2026-09-14T18:30:00+00:00,10000,0,0,10000,0
2026-09-14T18:45:00+00:00,10000,0,0,10000,0
2026-09-14T19:00:00+00:00,10000,0,0,10000,0
2026-09-14T19:15:00+00:00,10000,0,0,10000,0
2026-09-14T19:30:00+00:00,10000,0,0,10000,0
2026-09-14T19:45:00+00:00,10000,0,0,10000,0
2026-09-14T20:00:00+00:00,10000,0,0,10000,0
2026-09-14T20:15:00+00:00,10000,0,0,10000,0
2026-09-14T20:30:00+00:00,10000,0,0,10000,0
